,title,type,area,num_rooms,posted_by,age,condition,equipment,heating,floor,total_floors,utilities_cost,payment_period,rent_cost,rent_currency,city,location,micro_location,street,date_posted,deposit,not_in_house,pet_friendly,immediately_available,balcony,air_conditioning,garrage,elevator,internet,intercom,video_surveillance,parking,telephone,cable_tv,not_final_floor,for_students,basement,garden,description,url,smoking_forbidden
0,Garsonjera Rade Koncara 93 ,Stan,30,1.5,Vlasnik,Novogradnja,Lux,namešteno,CG,3.0,5.0,50 €,mesečno,350,€,Beograd,Opština Zemun,Gornji grad,Rada Koncara 93 ,16.05.2023. u 01:13,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,"Izdajem garsonjeru (30 kvadrata) u ulici Rade Koncara 93 u Zemunu u potpuno novoj zgradi koja poseduje lift i privatnu garazu, stan je nov i poseduje sve potrebem elemete za zivot, cena na mesecmom nivou, u oba slucaja struja, Zvati  od 10-23, Uros, Tel 1.  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-rade-koncara-93/5425634824961?kid=4,False
1,Odličan stan u Mirijevu 40m2 ,Stan,40,1.5,Vlasnik,Novogradnja,Izvorno stanje,namešteno,EG,0.0,3.0,100 €,mesečno,350,€,Beograd,Opština Zvezdara,Mirijevo,Teodora Mirijevskog ,15.05.2023. u 19:08,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,"Izdajem odlican stan u naselju Mirijevo 3, veličine 40 m2 sa velikom terasom od 20m2. Stan je u novogradnji sa  parketom,  ugradnom kuhinjom i skoro potpuno namešten. Oko svega može da se individuelno dogovara.  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlican-stan-u-mirijevu-40m2/5425643109824?kid=4,False
2,Novi Beograd - Blok 44 ID#52773 ,Stan,66,2.5,Agencija,,,namešteno,CG,6.0,7.0,,mesečno,650,€,Beograd,Opština Novi Beograd,Blok 44 (TC Piramida),Gandijeva ,15.05.2023. u 21:18,True,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,"Provizija: 50% od prve mesečne zakupnine ,  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd---blok-44-id52773/5425643047205?kid=4,False
3,"Lion, Đevđelijska, 50 m2, 2.0, CG, Lift ",Stan,50,2.0,Vlasnik,Novogradnja,Izvorno stanje,namešteno,CG,0.5,6.0,100 €,mesečno,600,€,Beograd,Opština Zvezdara,Lion,Đevđelijska ,15.05.2023. u 21:36,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,"Izdajem dvosoban stan 50 m2 koji se sastoji od hodnika, kupatila, velike dnevne sobe koja istovremeno služi kao kuhinja, trpezarija i dnevni boravak, spavaće sobe i terase. Prozori od spavaće sobe i dnevne sobe kao i sama terasa gledaju u dvorište zgrade i dalje ka Zvezdrskoj šumi. Zbog takvog položaja stana veoma je tiho tokom celog dana i buka sa ulice se ne čuje. Stan ima centralno grejanje i klimu u dnevnoj sobi, redijatori imaju kalorimetre pa cena grejanja zavisi od potrošnje. Meni su stalno bili na maksimumu i cena grejanja tokom zimskih meseci nije prelazila 10000 dinara. U stanu od nameštaja ima francuski ležaj, dva dvokrilna ugradna plakara od poda do plafona, mašina za pranje i sušenje veša, kompletna kuhinja koja ima frižider sa zamrzivačem, mašinu za sudove, aspirator, šporet i rernu, garnitura za sedenje, sto i tri stolice, LCD TV i usisivač. U ulici je 3 zelena zona parkiranja. Stan se nalazi na 200 metara od Bulevara kralja Aleksandra a 400 od ulice Dimitrija Tucovića tako da je odlično pozicioniran za korisnike raznih vrsta javnog prevoza, kao i od raznih prodavnica i restorana koji se nalaze u tim ulicama.  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/lion-djevdjelijska-50-m2-2-0-cg-lift/5425636088789?kid=4,False
4,"Voždovac, Kumodraž II, bul. Peka Dapčevića ",Stan,63,2.0,Vlasnik,Stara gradnja,Renovirano,namešteno,CG,2.0,4.0,80 €,mesečno,500,€,Beograd,Opština Voždovac,Kumodraž, bul. Peka Dapčevića  ,15.05.2023. u 22:09,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,"Stan u naselju Kumodraž II, odmah iza naselja Stepa Stepanović.
 
 Stan je dvosoban, ukupna kvadratura 63m2.
 U okviru stana se nalaze, veliki dnevni boravak, spavaća soba, odvojena kuhinja, trpezarija, hodnik i kupatilo (iz hodnika se ulazi u sve prostorije)
 Stan je kompletno renoviran.
 Pogled na park sa balkona.
 Zgrada je u odličnom stanju, održavan ulaz i stepenište.
 U neposrednoj blizini se nalazi Maksi, apoteka, pošta, Dom Zdravlja, pijaca, osnovna škola i farmaceutski fakultet.
 Dobro povezan sa centrom grada linijama GSP-a 25, 33 i 39. 





 ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-kumodraz-ii-bul-peka-dapcevica/5425642001045?kid=4,False
5,2.0 Stan u Dž.Vašingtona ,Stan,54,2.0,Vlasnik,Stara gradnja,Lux,namešteno,Norveški radijatori,2.0,5.0,,mesečno,750,€,Beograd,Opština Stari grad,Skupština,Džordža Vašingtona ,15.05.2023. u 22:16,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,"Izdaje se dvosoban, svetao i savremeno uređen salonski stan, u ulici Džordža Vašingtona, u krugu dvojke, u renoviranoj predratnoj zgradi sa održavanim ulazom i liftom. Stan je dvostrano orjentisan, ka mirnoj, sporednoj ulici, sa pogledom na školu Vuk Karadžić i Rudarsko-Geološki fakultet i ka unutrašnjem dvorištu. Sastoji se od predsoblja, salona / trpezarije, dnevne sobe, spavaće sobe, kuhinje, kupatila i zastakljene terase. Kontakt - vlasnik stana. One-bedroom, bright and contemporarily decorated apartment with lots of character for rent, on Džordž Vašington Street, in the city centre, in a renovated pre-war building with a well-maintained entrance and elevator. The apartment has double orientation, towards a quiet, side street, with a view of the Vuk Karadžić school and the Faculty of Mining and Geology as well as towards an inner courtyard. It consists of an entrance hall, living dining room, living room, bedroom, kitchen, bathroom and glazed terrace. Contact the owner.  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/2-0-stan-u-dz-vasingtona/5425643059217?kid=4,False
6,Zemun - Zemunske Kapije ID#52693 ,Stan,43,2.0,Agencija,,,namešteno,CG,5.0,6.0,,mesečno,550,€,Beograd,Opština Zemun,Cara Dušana,Sumadijska ,15.05.2023. u 22:35,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,"Provizija: 50% od prve mesečne zakupnine ,  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun---zemunske-kapije-id52693/5425643062875?kid=4,False
7,Izdajem stan u Batajnici ,Stan,65,3.0,Vlasnik,Novogradnja,Lux,namešteno,Gas,1.0,,,mesečno,450,€,Beograd,Opština Zemun,Batajnica,Kralja Radoslava 88 ,15.05.2023. u 23:11,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,"Izdajem stan u Batajnici u ulici Kralja Radoslava 88. Stan je trosoban,ima dve spavace sobe,dnevnu sobu ,kupatilo,kuhinju i dve terase. Kompletno je opremljen i odmah useljiv. Klima i internet,obezbedjeno parking mesto. Za sve dodatne informacije pozovite na broj 062239908   ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-u-batajnici/5425641755505,False
8,"A-Blok – namešten, odmah useljiv 4.5 soban ",Stan,103,4.5,Vlasnik,Novogradnja,Lux,namešteno,CG,3.0,7.0,150 €,mesečno,1350,€,Beograd,Opština Novi Beograd,Blok 67a (A blok),Uroša Martinovića ,16.05.2023. u 01:09,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,"A-Blok – nov, kompletno namešten i odmah useljiv 4.5-soban stan - 103m2, na 3.spratu. Ima 2 ulaza (dva spojena dvosobna stana), 2 velika kupatila, 2 terase.  Orijentacija istok-zapad. Garažno mesto  - 80 EUR. Vlasnik, zvati POSLE 12h.  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/a-blok-namesten-odmah-useljiv-4-5-soban/5425642871268?kid=4,False
9,"Odličan, potpuno renoviran stan! ID 1645 ",Stan,45,2.0,Agencija,Stara gradnja,Renovirano,namešteno,CG,1.0,4.0,,mesečno,600,€,Beograd,Opština Palilula,Bogoslovija,Omladinski stadion ,15.05.2023. u 15:15,True,True,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,"Veoma lep, potpuno renoviran i moderno opremljen stan u blizini Omladinskog stadiona.  Stan se sastoji od dnevne sobe sa trpezarijom, zasebne kuhinje, spavaće sobe, terase i kupatila.  Pogodno za jednu osobu ili par.  ID 1645  ",https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlican-potpuno-renoviran-stan-id-1645/5425636202632?kid=4,False
